3.7	tres coma siete
2.4	dos coma cuatro|dos y cuatro décimas
1,234.56	mil doscientos treinta y cuatro coma cincuenta y seis
500.75	quinientos coma setenta y cinco
7.8	siete coma ocho
6,789,432.10	seis millones setecientos ochenta y nueve mil cuatrocientos treinta y dos coma diez
2.3	dos coma tres|dos y tres décimas
65,987.55	sesenta y cinco mil novecientos ochenta y siete coma cincuenta y cinco
156.30	ciento cincuenta y seis coma treinta
3.5	tres coma cinco|tres y medio
344.23	trescientos cuarenta y cuatro coma veintitrés
2.43	dos coma cuarenta y tres
7.56	siete coma cincuenta y seis
2,623.12	dos mil seiscientos veintitrés coma doce
678,432.14	seiscientos setenta y ocho mil cuatrocientos treinta y dos coma catorce
15.99	quince coma noventa y nueve
22.67	veintidós coma sesenta y siete|veintidós con sesenta y siete
8.98	ocho coma noventa y ocho
85.50	ochenta y cinco coma cincuenta
9,345,621.78	nueve millones trescientos cuarenta y cinco mil seiscientos veintiuno coma setenta y ocho
9.99	nueve coma noventa y nueve
2,335,987.44	dos millones trescientos treinta y cinco mil novecientos ochenta y siete coma cuarenta y cuatro
22,499.99	veintidós mil cuatrocientos noventa y nueve coma noventa y nueve
2,34.56	NA (This number is not valid. In Spanish, the comma is used as a decimal separator and the period is used to separate thousands.)
19.99	diecinueve coma noventa y nueve
1,000.12	mil coma doce
32.45	treinta y dos coma cuarenta y cinco
5.67	cinco coma sesenta y siete|cinco y sesenta y siete centésimas
14.23	catorce coma veintitrés
1,200,345.76	un millón doscientos mil trescientos cuarenta y cinco coma setenta y seis
745.89	setecientos cuarenta y cinco coma ochenta y nueve
25.37	veinticinco coma treinta y siete
2,793.42	dos mil setecientos noventa y tres coma cuarenta y dos
6,788.12	seis mil setecientos ochenta y ocho coma doce
5.26	cinco coma veintiséis|cinco con veintiséis
999.99	novecientos noventa y nueve coma noventa y nueve
456.32	cuatrocientos cincuenta y seis coma treinta y dos
4.29	cuatro coma veintinueve
1.25	uno coma veinticinco|uno y cuarto
225.4	doscientos veinticinco coma cuatro
7,569,301.59	siete millones quinientos sesenta y nueve mil trescientos uno coma cincuenta y nueve
50.8	cincuenta coma ocho|cincuenta y ocho décimas
200.56	doscientos coma cincuenta y seis
12,000.25	doce mil coma veinticinco
7.2	siete coma dos|siete con dos décimas
2,318,029.87	dos millones trescientos dieciocho mil veintinueve coma ochenta y siete
600,000	seiscientos mil
2.5	dos coma cinco|dos y medio
532,111.67	quinientos treinta y dos mil ciento once coma sesenta y siete
20.7	veinte coma siete|veinte y siete décimas
0.89	cero coma ochenta y nueve
9.3	nueve coma tres|nueve con tres
4.6	cuatro coma seis|cuatro y seis décimas
12.8	doce coma ocho|doce con ocho décimas
29,031.69	veintinueve mil treinta y uno coma sesenta y nueve
280.55	doscientos ochenta coma cincuenta y cinco
534.23	quinientos treinta y cuatro coma veintitrés
6.7	seis coma siete
1,500,000.50	un millón quinientos mil coma cincuenta
8,999.99	ocho mil novecientos noventa y nueve coma noventa y nueve
0.75	setenta y cinco centésimas|tres cuartos
3,600.25	tres mil seiscientos coma veinticinco
24.9	veinticuatro coma nueve
4.35	cuatro coma treinta y cinco|cuatro con treinta y cinco
45.67	cuarenta y cinco coma sesenta y siete
1,500.5	mil quinientos coma cinco
850.64	ochocientos cincuenta coma sesenta y cuatro
3.45	tres coma cuarenta y cinco
320.75	trescientos veinte coma setenta y cinco
56.8	cincuenta y seis coma ocho
2.25	dos coma veinticinco|dos y un cuarto
4,200.50	cuatro mil doscientos coma cincuenta
344.87	trescientos cuarenta y cuatro coma ochenta y siete
3.14	tres coma catorce
29.99	veintinueve coma noventa y nueve
13.37	trece coma treinta y siete
4,567.89	cuatro mil quinientos sesenta y siete coma ochenta y nueve
8,500.50	ocho mil quinientos coma cincuenta
350.25	trescientos cincuenta coma veinticinco
5.87	cinco coma ochenta y siete
1,214.32	mil doscientos catorce coma treinta y dos
12.17	doce coma diecisiete
2,342.56	dos mil trescientos cuarenta y dos coma cincuenta y seis
